city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state
Fronteiras,2204303,1091,9357.57784,2022-03-26,0.0101,11,11659,11625,True,684,city,PI
Geminiano,2204352,517,9468.86447,2022-03-26,0.0116,6,5460,5442,True,642,city,PI
Gilbués,2204402,908,8490.74247,2022-03-26,0.0077,7,10694,10690,True,667,city,PI
Guadalupe,2204501,1474,14042.10727,2022-03-26,0.019,28,10497,10499,True,666,city,PI
Guaribas,2204550,108,2364.2732,2022-03-26,0.0185,2,4568,4562,True,622,city,PI
Hugo Napoleão,2204600,811,20907.45037,2022-03-26,0.0111,9,3879,3877,True,673,city,PI
Ilha Grande,2204659,1292,13661.83779,2022-03-26,0.0163,21,9457,9426,True,698,city,PI
Inhuma,2204709,1778,11606.50173,2022-03-26,0.0157,28,15319,15308,True,706,city,PI
Ipiranga do Piauí,2204808,846,8599.3088,2022-03-26,0.0225,19,9838,9811,True,684,city,PI
Isaías Coelho,2204907,914,10670.09106,2022-03-26,0.0098,9,8566,8549,True,664,city,PI
Itainópolis,2205003,1394,12068.2192,2022-03-26,0.0093,13,11551,11530,True,668,city,PI
Itaueira,2205102,206,1867.97243,2022-03-26,0.1311,27,11028,11019,True,702,city,PI
Jacobina do Piauí,2205151,402,7016.9314,2022-03-26,0.01,4,5729,5741,True,634,city,PI
Jaicós,2205201,2513,13109.02452,2022-03-26,0.0167,42,19170,19104,True,673,city,PI
Jardim do Mulato,2205250,278,6159.98227,2022-03-26,0.0144,4,4513,4504,True,593,city,PI
Jatobá do Piauí,2205276,385,7897.4359,2022-03-26,0.026,10,4875,4865,True,654,city,PI
Jerumenha,2205300,211,4744.77176,2022-03-26,0.0332,7,4447,4452,True,659,city,PI
João Costa,2205359,319,10615.6406,2022-03-26,0.0125,4,3005,3008,True,597,city,PI
Joaquim Pires,2205409,1682,11700.05565,2022-03-26,0.019,32,14376,14354,True,672,city,PI
Joca Marques,2205458,613,11214.78229,2022-03-26,0.0131,8,5466,5443,True,645,city,PI
José de Freitas,2205508,6718,17078.50315,2022-03-26,0.0131,88,39336,39208,True,698,city,PI
Juazeiro do Piauí,2205516,532,9699.17958,2022-03-26,0.0075,4,5485,5478,True,673,city,PI
Júlio Borges,2205524,150,2659.57447,2022-03-26,0.1,15,5640,5627,True,690,city,PI
Jurema,2205532,307,6426.62759,2022-03-26,0.0228,7,4777,4763,True,632,city,PI
Lagoa Alegre,2205557,374,4360.49901,2022-03-26,0.0348,13,8577,8542,True,644,city,PI
